# model_ID designibility_score numResidues duds
# filter:  numR < 8 or score < 2300 or duds != 0
643016 2317 10 0
379334 3656 9 0
41477 3342 9 0
458221 3304 9 0
761236 3025 9 0
587060 2969 9 0
853974 2764 9 0
144427 2733 9 0
468038 2667 9 0
202334 2640 9 0
457290 2607 9 0
801841 2580 9 0
499417 2566 9 0
799530 2444 9 0
914101 2425 9 0
522828 2369 9 0
152719 3500 8 0
487637 3401 8 0
482807 3255 8 0
380727 3024 8 0
361529 3004 8 0
431491 2997 8 0
850865 2976 8 0
629824 2961 8 0
483168 2942 8 0
130154 2876 8 0
503215 2875 8 0
456004 2862 8 0
418995 2852 8 0
874509 2851 8 0
42358 2828 8 0
203719 2819 8 0
469401 2811 8 0
757700 2810 8 0
850371 2807 8 0
468983 2788 8 0
17036 2763 8 0
536229 2740 8 0
80252 2728 8 0
795554 2724 8 0
507255 2724 8 0
267513 2720 8 0
443581 2679 8 0
130223 2677 8 0
408762 2624 8 0
127523 2623 8 0
837454 2620 8 0
414608 2571 8 0
789180 2568 8 0
533131 2564 8 0
497879 2544 8 0
444400 2542 8 0
179188 2541 8 0
595948 2525 8 0
292978 2517 8 0
443087 2511 8 0
890094 2496 8 0
321811 2475 8 0
345881 2458 8 0
234059 2444 8 0
93167 2443 8 0
787143 2440 8 0
331177 2437 8 0
102975 2429 8 0
155601 2427 8 0
819634 2420 8 0
834778 2415 8 0
790210 2414 8 0
865071 2405 8 0
805868 2404 8 0
234652 2392 8 0
537541 2390 8 0
544278 2387 8 0
844147 2374 8 0
96272 2359 8 0
805004 2328 8 0
406264 2314 8 0
41906 2314 8 0
395861 2306 8 0
350792 2302 8 0
